playerName,position_x,team,games_x,points,assists,totalRb,steals,blocks,turnovers,effectFgPercent,season,position_y,games_y,per,usagePercent,offensiveWs,defensiveWs,winShares,offensiveBox,defensiveBox,vorp,PPG,APG,RPG,SPG,BPG,full_team_name,ranking,wins,win_percentage
Paul Pierce*,SG,BOS,82,2144,261,566,154,86,241,0.508,2002,SG,82,22.3,29.300,7.3,5.6,12.9,4.7,1.3,6.6,26.146341463414632,3.182926829268293,6.902439024390244,1.8780487804878048,1.048780487804878,Boston Celtics,7,49,0.598
Glenn Robinson,SF,MIL,66,1366,168,406,97,41,174,0.493,2002,SF,66,19.1,28.800,2.6,2.1,4.7,1.2,-0.9,1.4,20.696969696969695,2.5454545454545454,6.151515151515151,1.4696969696969697,0.6212121212121212,Milwaukee Bucks,15,41,0.5
Jalen Rose,SF,IND,53,982,197,249,45,29,105,0.474,2002,SF,53,15.7,24.800,2.0,1.6,3.6,0.8,-0.5,1.1,18.528301886792452,3.7169811320754715,4.69811320754717,0.8490566037735849,0.5471698113207547,Indiana Pacers,13,42,0.512
Latrell Sprewell,SF,NYK,81,1575,313,298,94,14,223,0.455,2002,SF,81,13.7,25.100,1.1,1.7,2.8,0.3,-1.1,0.9,19.444444444444443,3.8641975308641974,3.6790123456790123,1.1604938271604939,0.1728395061728395,New York Knicks,21,30,0.366
Jerry Stackhouse,SF,DET,76,1629,403,315,77,37,266,0.430,2002,SF,76,19.0,32.300,3.2,2.6,5.8,2.6,-1.2,2.4,21.43421052631579,5.302631578947368,4.144736842105263,1.013157894736842,0.4868421052631579,Detroit Pistons,5,50,0.61
Peja Stojaković,SF,SAC,71,1506,175,373,81,14,140,0.541,2002,SF,71,19.3,23.200,6.8,3.0,9.9,3.2,-0.2,3.3,21.211267605633804,2.464788732394366,5.253521126760563,1.1408450704225352,0.19718309859154928,Sacramento Kings,-1,61,0.744
Wally Szczerbiak,SF,MIN,82,1531,257,391,66,21,181,0.544,2002,SF,82,17.1,21.800,7.0,1.7,8.7,2.3,-0.9,2.7,18.670731707317074,3.1341463414634148,4.7682926829268295,0.8048780487804879,0.25609756097560976,Minnesota Timberwolves,4,50,0.61
Jason Terry,SG,ATL,78,1504,444,270,144,13,181,0.500,2002,SG,78,19.2,23.600,6.6,2.1,8.6,3.3,-0.1,3.9,19.28205128205128,5.6923076923076925,3.4615384615384617,1.8461538461538463,0.16666666666666666,Atlanta Hawks,20,33,0.402
Nick Van Exel,PG,DEN,45,965,365,169,30,7,116,0.454,2002,PG,45,18.4,28.400,2.7,0.2,2.9,4.2,-2.1,1.8,21.444444444444443,8.11111111111111,3.7555555555555555,0.6666666666666666,0.15555555555555556,Denver Nuggets,24,27,0.329
Antoine Walker,PF,BOS,81,1794,407,714,122,38,251,0.460,2002,PF,81,17.1,27.800,1.5,5.2,6.7,2.2,0.0,3.6,22.14814814814815,5.0246913580246915,8.814814814814815,1.5061728395061729,0.4691358024691358,Boston Celtics,7,49,0.598
