playerName,position_x,team,games_x,points,assists,totalRb,steals,blocks,turnovers,effectFgPercent,season,position_y,games_y,per,usagePercent,offensiveWs,defensiveWs,winShares,offensiveBox,defensiveBox,vorp,teamName,wins,topWsPlayer
Jalen Rose,SF,IND,49,542,93,154,50,15,72,0.420,1999,SF,49,14.4,24.700,0.8,1.0,1.8,-1.0,-0.2,0.2,,,
Malik Rose,PF,SAS,47,284,29,182,40,22,56,0.463,1999,PF,47,19.7,24.600,1.0,1.6,2.6,-1.1,1.8,0.4,,,
Bryon Russell,SF,UTA,50,622,74,266,76,15,76,0.519,1999,SF,50,14.1,16.700,2.9,2.7,5.6,0.4,1.2,1.6,,,
Arvydas Sabonis*,C,POR,50,606,119,393,34,63,85,0.493,1999,C,50,20.4,21.700,3.0,2.9,5.8,1.8,2.4,2.1,,,
Jason Sasser,SF,VAN,6,11,2,7,2,0,2,0.455,1999,SF,6,10.7,16.300,0.0,0.0,0.0,-3.8,-0.3,0.0,,,
Danny Schayes,C,ORL,19,28,4,14,1,2,8,0.379,1999,C,19,1.9,12.900,-0.2,0.1,0.0,-7.2,-0.4,-0.2,,,
Dwayne Schintzius,C,BOS,16,11,8,19,0,3,10,0.250,1999,C,16,0.7,18.500,-0.3,0.1,-0.2,-11.1,0.0,-0.2,,,
Detlef Schrempf,SF,SEA,50,752,184,370,41,26,103,0.503,1999,SF,50,18.4,19.500,4.7,1.1,5.8,2.1,-0.1,1.8,,,
Dennis Scott,SF,TOT,36,234,40,58,15,3,19,0.495,1999,SF,36,10.1,15.000,0.7,0.5,1.2,-1.1,-0.6,0.0,,,
Dennis Scott,SF,NYK,15,43,8,20,3,1,5,0.375,1999,SF,15,3.9,14.600,-0.2,0.2,0.0,-3.8,-0.5,-0.1,,,
Dennis Scott,SF,MIN,21,191,32,38,12,2,14,0.538,1999,SF,21,12.4,15.100,1.0,0.3,1.3,-0.1,-0.7,0.2,,,
Malik Sealy,SF,MIN,31,251,36,92,30,5,33,0.424,1999,SF,31,11.1,17.500,0.4,0.7,1.1,-2.9,0.4,-0.1,,,
Rony Seikaly,C,NJN,9,15,2,21,4,6,10,0.200,1999,C,9,0.5,19.000,-0.5,0.1,-0.3,-11.2,-0.2,-0.2,,,
